"Miltal","Modellår","Biltyp","Drivning","Hästkrafter","Färg","Märke","Modell","Län","Pris..Y."
1491,2022,"halvkombi",2,204,"grå","hyundai","kona","kronoberg",349800
9800,2019,"sedan",2,120,"svart","hyundai","ioniq","västra götaland",144000
6729,2020,"suv",4,408,"svart","audi","e-tron","skåne",528900
1270,2022,"suv",2,136,"röd","hyundai","kona","uppsala",259900
11748,2020,"halvkombi",2,136,"blå","hyundai","ioniq","örebro",209800
4355,2020,"suv",4,408,"svart","audi","e-tron","skåne",548900
6400,2022,"suv",2,204,"blå","hyundai","kona","örebro",319800
7400,2020,"suv",2,204,"grå","hyundai","kona","örebro",274800
4998,2020,"suv",2,204,"grå","hyundai","kona","örebro",289800
3525,2020,"suv",2,204,"röd","hyundai","kona","örebro",289800
3990,2023,"sedan",4,476,"svart","audi","e-tron","blekinge",867000
9975,2019,"suv",2,204,"mörkgrå","hyundai","kona","blekinge",237000
4045,2022,"suv",4,300,"grå","audi","q4","kalmar",549900
5100,2021,"sedan",2,218,"grå","hyundai","ioniq","västra götaland",459900
9100,2022,"suv",2,218,"svart","hyundai","ioniq","jönköping",419900
4073,2021,"suv",4,408,"grå","audi","e-tron","stockholm",534900
4277,2022,"suv",2,204,"blå","audi","q4","stockholm",478900
10500,2019,"suv",4,408,"svart","audi","e-tron","skåne",409800
3520,2021,"suv",4,504,"svart","audi","e-tron","västra götaland",719800
9162,2019,"suv",4,408,"svart","audi","e-tron","stockholm",425900
3977,2022,"suv",4,408,"grå","audi","e-tron","stockholm",626900
3411,2022,"suv",2,204,"brun","hyundai","kona","stockholm",343900
2289,2022,"suv",2,218,"grön","hyundai","ioniq","stockholm",439900
2732,2022,"suv",2,170,"svart","audi","q4","stockholm",386900
5483,2021,"suv",4,408,"svart","audi","e-tron","stockholm",494900
1638,2022,"suv",2,170,"grå","audi","q4","stockholm",391900
3550,2021,"suv",4,408,"svart","audi","e-tron","stockholm",497900
9188,2019,"suv",4,408,"grå","audi","e-tron","stockholm",384900
7466,2019,"halvkombi",2,120,"ljusgrå","hyundai","ioniq","stockholm",185900
7735,2020,"halvkombi",2,136,"vit","hyundai","ioniq","stockholm",208900
7417,2020,"suv",4,408,"svart","audi","e-tron","stockholm",414900
5425,2022,"suv",4,408,"blå","audi","e-tron","stockholm",620900
7052,2021,"suv",4,408,"grå","audi","e-tron","stockholm",503900
